Seed,Condition,V_T_step,V_T,DC,EC,R
REAL,C1,0.14,6.89,6564,6486,1.049484580825795
REAL,C1,0.15,7.375,5889,5845,1.0536272381937326
REAL,C1,0.16,7.86,5260,5253,1.0601956296816606
REAL,C1,0.17,8.345,4705,4639,1.0386464643016593
REAL,C1,0.18,8.83,4215,4192,1.0492241420874862
REAL,C1,0.19,9.315,3747,3639,1.0158374556231111
REAL,C1,0.2,9.8,3311,3179,1.0010234258016293
REAL,C1,0.21,10.285,3023,2865,0.9853535907158127
REAL,C1,0.22,10.77,2652,2504,0.9813793263594236
REAL,C1,0.23,11.255,2363,2210,0.9709985010098381
REAL,C1,0.24,11.74,2111,1972,0.9701751455984932
REAL,C1,0.25,12.225,1888,1764,0.9707926797641756
REAL,C1,0.26,12.71,1658,1534,0.9607699306564877
REAL,C1,0.27,13.195,1513,1393,0.9559856848675238
REAL,C1,0.28,13.68,1321,1228,0.9664997314656009
REAL,C1,0.29,14.165,1170,1080,0.959546529239167
REAL,C1,0.3,14.65,1024,928,0.9413547229907985
REAL,C1,0.31,15.135,910,827,0.9445223552818489
REAL,C1,0.32,15.62,781,727,0.9689389614967732
REAL,C1,0.33,16.105,703,664,0.983906005941005
REAL,C1,0.34,16.59,637,595,0.9726666177466228
REAL,C1,0.35,17.075,553,513,0.9659227885727342
REAL,C1,0.36,17.56,485,444,0.9529965099634913
REAL,C1,0.37,18.045,427,392,0.9558915750736466
REAL,C1,0.38,18.53,385,351,0.9492463858266067
REAL,C1,0.39,19.015,335,316,0.9829350123030609
REAL,C1,0.4,19.5,294,284,1.0070490228837905
REAL,C1,0.41,19.985,266,253,0.9913055795631159
REAL,C1,0.42,20.47,232,207,0.9291666313258325
REAL,C1,0.43,20.955,210,186,0.9223765364402838
REAL,C1,0.44,21.44,180,156,0.9024745090827357
REAL,C1,0.45,21.925,163,147,0.9395230796177841
REAL,C1,0.46,22.41,149,135,0.9439814674048368
REAL,C1,0.47,22.895,140,130,0.9676715658415885
REAL,C1,0.48,23.38,124,119,1.0003536549274934
REAL,C1,0.49,23.865,115,103,0.9331944806040094
REAL,C1,0.5,24.35,105,94,0.9327970919665577
REAL,C1,0.51,24.835,99,85,0.8944301412563131
REAL,C1,0.52,25.32,90,75,0.8680513195884674
REAL,C1,0.53,25.805,83,72,0.9038150528564217
REAL,C1,0.54,26.29,79,69,0.9100586600802717
REAL,C2,0.14,6.89,1581,1527,1.007472283087267
REAL,C2,0.15,7.375,1464,1428,1.0183405794653084
REAL,C2,0.16,7.86,1301,1307,1.0512578424093324
REAL,C2,0.17,8.345,1182,1198,1.060924564115809
REAL,C2,0.18,8.83,1043,1010,1.0100164744686668
REAL,C2,0.19,9.315,901,875,1.0129931302016186
REAL,C2,0.2,9.8,779,738,0.9869349490948144
REAL,C2,0.21,10.285,696,629,0.9397367170265877
REAL,C2,0.22,10.77,592,510,0.8947389255914227
REAL,C2,0.23,11.255,508,426,0.8707815756964182
REAL,C2,0.24,11.74,436,368,0.8770621689119543
REAL,C2,0.25,12.225,377,336,0.9275417981924458
REAL,C2,0.26,12.71,318,283,0.9263901096296435
REAL,C2,0.27,13.195,282,252,0.9304263059909551
REAL,C2,0.28,13.68,236,210,0.9266080533232702
REAL,C2,0.29,14.165,205,156,0.791250431722119
REAL,C2,0.3,14.65,172,132,0.7983518650060998
REAL,C2,0.31,15.135,146,112,0.7982640752859359
REAL,C2,0.32,15.62,116,87,0.7806281284336466
REAL,C2,0.33,16.105,95,74,0.8111125022070271
REAL,C2,0.34,16.59,85,59,0.7225422088396601
REAL,C2,0.35,17.075,67,44,0.683704763851973
REAL,C2,0.36,17.56,47,28,0.6203484542406309
REAL,C2,0.37,18.045,41,22,0.5587378230443094
REAL,C2,0.38,18.53,37,19,0.5347408198472028
REAL,C2,0.39,19.015,29,14,0.5027965506763482
REAL,C2,0.4,19.5,25,13,0.5416771998055421
REAL,C2,0.41,19.985,20,10,0.5209004192235251
REAL,C2,0.42,20.47,16,8,0.5209586294878804
REAL,C2,0.43,20.955,13,8,0.6412920048786642
REAL,C2,0.44,21.44,9,4,0.46315079124067887
REAL,C2,0.45,21.925,8,3,0.3907825215595773
REAL,C2,0.46,22.41,7,3,0.4466346237268137
REAL,C2,0.47,22.895,5,2,0.4168822493471792
REAL,C2,0.48,23.38,5,2,0.4168822493471792
REAL,C2,0.49,23.865,5,2,0.4168822493471792
REAL,C2,0.5,24.35,3,2,0.6948847189328151
REAL,C2,0.51,24.835,3,2,0.6948847189328151
REAL,C2,0.52,25.32,3,2,0.6948847189328151
REAL,C2,0.53,25.805,3,2,0.6948847189328151
REAL,C2,0.54,26.29,2,1,0.5211622540684965
REAL,C3,0.14,6.89,2504,2521,1.0583989906370626
REAL,C3,0.15,7.375,2467,2485,1.0588712654638481
REAL,C3,0.16,7.86,2398,2434,1.0680954589577527
REAL,C3,0.17,8.345,2274,2255,1.039015351346963
REAL,C3,0.18,8.83,2176,2206,1.0655316125433556
REAL,C3,0.19,9.315,2059,1981,1.0032904255441828
REAL,C3,0.2,9.8,1897,1810,0.9939074276965763
REAL,C3,0.21,10.285,1805,1706,0.9835013527680097
REAL,C3,0.22,10.77,1681,1609,0.9974905182856773
REAL,C3,0.23,11.255,1542,1467,0.9908698295480187
REAL,C3,0.24,11.74,1421,1346,0.9862415083484092
REAL,C3,0.25,12.225,1306,1237,0.9862798416648436
REAL,C3,0.26,12.71,1183,1107,0.9736448843536263
REAL,C3,0.27,13.195,1114,1037,0.9683392968329001
REAL,C3,0.28,13.68,995,943,0.9871718504929645
REAL,C3,0.29,14.165,904,873,1.007008760471825
REAL,C3,0.3,14.65,802,755,0.9803967077342917
REAL,C3,0.31,15.135,727,686,0.982883312281832
REAL,C3,0.32,15.62,635,621,1.020161216597042
REAL,C3,0.33,16.105,587,575,1.0218356749753317
REAL,C3,0.34,16.59,537,525,1.019717755159819
REAL,C3,0.35,17.075,475,460,1.0097372859345566
REAL,C3,0.36,17.56,430,409,0.9912585073416548
REAL,C3,0.37,18.045,382,366,0.9986936192501608
REAL,C3,0.38,18.53,347,331,0.9942023819770617
REAL,C3,0.39,19.015,305,301,1.0292465992326474
REAL,C3,0.4,19.5,268,270,1.0509977122228846
REAL,C3,0.41,19.985,245,242,1.0300605063619088
REAL,C3,0.42,20.47,215,198,0.9594744823505367
REAL,C3,0.43,20.955,196,177,0.9406980137991853
REAL,C3,0.44,21.44,171,152,0.9258782592115925
REAL,C3,0.45,21.925,155,144,0.9681284394605544
REAL,C3,0.46,22.41,142,132,0.9687247559544695
REAL,C3,0.47,22.895,135,128,0.9882418003340836
REAL,C3,0.48,23.38,119,117,1.0250415234586985
REAL,C3,0.49,23.865,110,101,0.9568320670043544
REAL,C3,0.5,24.35,102,92,0.939852279679656
REAL,C3,0.51,24.835,96,83,0.9007263568493429
REAL,C3,0.52,25.32,87,73,0.8740847921977045
REAL,C3,0.53,25.805,80,70,0.9117095554606988
REAL,C3,0.54,26.29,77,68,0.9202162997663272
REAL,C4,0.14,6.89,2504,2394,0.9960112700673593
REAL,C4,0.15,7.375,2467,2392,1.0125098339352452
REAL,C4,0.16,7.86,2398,2271,0.9851262103779257
REAL,C4,0.17,8.345,2274,2237,1.0294180480965511
REAL,C4,0.18,8.83,2176,2129,1.022817672440315
REAL,C4,0.19,9.315,2059,2040,1.0373959867329134
REAL,C4,0.2,9.8,1897,1891,1.0441557613153694
REAL,C4,0.21,10.285,1805,1809,1.050207586173015
REAL,C4,0.22,10.77,1681,1613,1.0002395393156815
REAL,C4,0.23,11.255,1542,1476,0.9975472341048391
REAL,C4,0.24,11.74,1421,1350,0.9894340926282271
REAL,C4,0.25,12.225,1306,1243,0.9914542787594928
REAL,C4,0.26,12.71,1183,1106,0.9727020309688958
REAL,C4,0.27,13.195,1114,1044,0.9753182277132938
REAL,C4,0.28,13.68,995,914,0.9550295999444345
REAL,C4,0.29,14.165,904,834,0.9596224434061317
REAL,C4,0.3,14.65,802,750,0.9735942286912657
REAL,C4,0.31,15.135,727,681,0.9754104330801273
REAL,C4,0.32,15.62,635,614,1.0082164894951047
REAL,C4,0.33,16.105,587,580,1.031045553141615
REAL,C4,0.34,16.59,537,544,1.0578824740037829
REAL,C4,0.35,17.075,475,484,1.064014355563604
REAL,C4,0.36,17.56,430,447,1.0859253119983279
REAL,C4,0.37,18.045,382,404,1.1049906873744262
REAL,C4,0.38,18.53,347,379,1.1417727731080398
REAL,C4,0.39,19.015,305,343,1.1759171117612734
REAL,C4,0.4,19.5,268,296,1.1540572042403454
REAL,C4,0.41,19.985,245,275,1.172908585442328
REAL,C4,0.42,20.47,215,235,1.1413656666599814
REAL,C4,0.43,20.955,196,213,1.1345333716655954
REAL,C4,0.44,21.44,171,181,1.104489079607992
REAL,C4,0.45,21.925,155,166,1.1175429814025917
REAL,C4,0.46,22.41,142,141,1.035344539061907
REAL,C4,0.47,22.895,135,134,1.034945640467526
REAL,C4,0.48,23.38,119,119,1.042691131498471
REAL,C4,0.49,23.865,110,92,0.8710908313765979
REAL,C4,0.5,24.35,102,84,0.8577070132294602
REAL,C4,0.51,24.835,96,82,0.8898199283985272
REAL,C4,0.52,25.32,87,79,0.946273659997335
REAL,C4,0.53,25.805,80,74,0.9640423909728577
REAL,C4,0.54,26.29,77,69,0.9338058283180234
REAL,C5,0.14,6.89,1920,1779,0.9616949242682096
REAL,C5,0.15,7.375,1918,1775,0.9603976384138405
REAL,C5,0.16,7.86,1904,1762,0.9604057948738753
REAL,C5,0.17,8.345,1850,1633,0.9113209286396129
REAL,C5,0.18,8.83,1825,1627,0.9215400944745843
REAL,C5,0.19,9.315,1739,1542,0.9164776726513348
REAL,C5,0.2,9.8,1614,1471,0.9451265538420405
REAL,C5,0.21,10.285,1547,1438,0.965965747926167
REAL,C5,0.22,10.77,1468,1334,0.9425824257432428
REAL,C5,0.23,11.255,1371,1251,0.9471295796495742
REAL,C5,0.24,11.74,1277,1184,0.9638717666349282
REAL,C5,0.25,12.225,1180,1086,0.9564752858372163
REAL,C5,0.26,12.71,1087,1008,0.9644494111575036
REAL,C5,0.27,13.195,1020,922,0.9388063014489902
REAL,C5,0.28,13.68,914,826,0.9389605406519174
REAL,C5,0.29,14.165,839,752,0.9311490795592452
REAL,C5,0.3,14.65,753,678,0.9359216922443845
REAL,C5,0.31,15.135,687,593,0.8960125103467448
REAL,C5,0.32,15.62,605,504,0.8642094664723712
REAL,C5,0.33,16.105,560,456,0.8444915292039503
REAL,C5,0.34,16.59,513,429,0.8682686558457657
REAL,C5,0.35,17.075,451,397,0.9155380609871984
REAL,C5,0.36,17.56,412,372,0.9398211449881212
REAL,C5,0.37,18.045,371,322,0.9028092139319063
REAL,C5,0.38,18.53,336,292,0.9041812744137032
REAL,C5,0.39,19.015,299,260,0.9049186308197003
REAL,C5,0.4,19.5,263,225,0.8902731444333234
REAL,C5,0.41,19.985,241,216,0.9333778915504397
REAL,C5,0.42,20.47,212,188,0.9235038411483232
REAL,C5,0.43,20.955,193,172,0.9282130504326903
REAL,C5,0.44,21.44,169,154,0.9493902405852239
REAL,C5,0.45,21.925,153,138,0.93968285985633
REAL,C5,0.46,22.41,140,117,0.8702120317305004
REAL,C5,0.47,22.895,133,116,0.9085013027891689
REAL,C5,0.48,23.38,117,98,0.8723472348174566
REAL,C5,0.49,23.865,108,94,0.9067266044670624
REAL,C5,0.5,24.35,100,87,0.9063783420827738
REAL,C5,0.51,24.835,94,83,0.9199985197535
REAL,C5,0.52,25.32,85,71,0.870136243300833
REAL,C5,0.53,25.805,78,64,0.8547237787103681
REAL,C5,0.54,26.29,75,62,0.8611803904837366
